#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
DE Kent	114100	18662	10.7	126697	1.9	11.7	34533	51.8	79.4	18.6	2601	27.3	74.6	194554
DE New Castle	136000	25413	8.4	500265	1.1	11.6	124749	51.4	85.5	29.5	8031	24.9	74.9	77302
DE Sussex	122400	20328	10.5	156638	3	18.5	35305	51.1	76.5	16.6	3017	22.5	73.7	307689
DC District of Columbia	157200	28659	20.2	572059	0	12.2	114992	52.9	77.8	39.1	17692	20.1		
FL Alachua	97300	18465	22.8	217955	0.4	9.6	43938	51.2	88.1	38.7	2248	20.2	75.1	198193
FL Baker	80900	15164	14.7	22259	2	9.2	6118	47.5	71.9	8.2	287	27.5	71.6	13035
FL Bay	93500	18700	13	148217	1.4	13.4	35642	50.5	81	17.7	4037	24	74.8	6732
FL Bradford	71700	14226	14.6	26088	1.3	12.9	5725	44.1	74.2	8.4	320	21.9	72.6	43579
FL Brevard	94400	21484	9.5	476230	2.8	19.9	104699	51	86.3	23.6	8019	22	77.1	276573
FL Broward	128600	23170	11.5	1623018	2.8	16.1	382929	51.7	82	24.5	31157	23.6	76.1	30897
FL Calhoun	58500	12379	20	13017	0	14	3021	46	69.1	7.7	316	23.2	73.5	43799
FL Charlotte	97000	21806	8.2	141627	3.8	34.7	22186	52.2	82.1	17.6	1509	15.7	78.8	290340
FL Citrus	84400	18585	11.7	118085	3.7	32.2	20330	52	78.3	13.2	1667	17.2	76.6	49192
FL Clay	108400	20868	6.8	140814	4.8	9.8	39385	50.8	86.4	20.1	1824	28	75.7	70834
FL Collier	168000	31195	10.3	251377	5.7	24.5	49941	49.9	81.8	27.9	3530	19.9	78.3	277279
FL Columbia	73600	14598	15	56513	2.3	14	14337	49.3	74.7	10.9	1060	25.4	73.8	97100
FL Dade	124000	18497	18	2253362	1.6	13.3	559213	51.7	67.9	21.7	60550	24.8	75.4	85093
FL DeSoto	69900	14000	23.6	32209	0.7	19	7310	43.8	63.5	8.4	565	22.7	74.2	322402
FL Dixie	61700	13559	19.1	13827	1.2	17.1	3055	46.7	65.9	6.8	192	22.1	73.6	33508
FL Duval	89600	20753	11.9	778879	1.7	10.5	204991	51.5	82.7	21.9	11837	26.3	73	35531
FL Escambia	85700	18641	15.4	294410	-0.4	13.3	69271	50.3	82.1	21	4270	23.5	74.3	54617
FL Flagler	116200	21879	8.7	49832	10.3	28.6	8925	52.1	85.9	21.2	562	17.9	77.6	87737
FL Franklin	105300	16140	17.7	11057	1.3	15.7	1989	43.5	68.3	12.4	210	18	73.5	5125
FL Gadsden	70100	14499	19.9	45087	0.5	12.2	11919	52.4	70.7	12.9	703	26.4	71.7	57933
FL Gilchrist	78000	13985	14.1	14437	2.7	13.6	3529	47.1	72.4	9.4	173	24.4	73.3	78090
FL Glades	72400	15338	15.2	10576	1.6	18.8	2337	45.1	69.8	9.8	275	22.1	73.4	380377
FL Gulf	77200	14449	16.7	13332	0.6	16.2	2895	46.6	72.6	10.1	721	21.7	73.5	3823
FL Hamilton	54600	10562	26	13327	1.3	11.2	3137	42.5	62.9	7.3	220	23.5	73.4	66379
FL Hardee	59600	12445	24.6	26938	-0.7	13.9	7435	45.6	58	8.4	943	27.6	74.2	345643
FL Hendry	71500	13663	24.1	36210	1	10.1	10874	44.4	54.2	8.2	1895	30	73.4	604677
FL Hernando	87300	18321	10.3	130802	3.8	30.9	24726	52.5	78.5	12.7	1588	18.9	77.1	52999
FL Highlands	72800	17222	15.2	87366	1.8	33	16744	51.2	74.5	13.6	1753	19.2	75.9	489579
FL Hillsborough	97700	21812	12.5	998948	2.8	12	253138	51.1	80.8	25.1	14326	25.3	74.6	247502
FL Holmes	56200	14135	19.1	18564	1.3	14.8	4285	47	65.2	8.8	358	23.1	73.9	87582
FL Indian River	104000	27227	9.3	112947	3.1	29.2	21694	51.6	81.6	23.1	3375	19.2	77.7	168399
FL Jackson	66700	13905	17.2	46755	0	14.6	10449	47.5	69.1	12.8	1133	22.3	74.3	244552
FL Jefferson	77000	17006	17.1	12902	0.3	14.5	2930	49	73.2	16.9	204	22.7	72.6	126590
FL Lafayette	67100	13087	17.5	7022	3.2	12.4	1523	40.2	68.2	7.2	66	21.7	73.6	93434
FL Lake	100600	20199	9.6	210528	8.1	26.4	42719	51.6	79.8	16.6	2329	20.3	76.8	185311
FL Lee	112900	24542	9.7	440888	4.9	25.4	86388	51.1	82.3	21.1	4598	19.6	77.7	129001
FL Leon	110900	21024	18.2	239452	0	8.3	51007	52.3	89.1	41.7	3187	21.3	76	67539
FL Levy	75800	14746	18.6	34450	3.1	17.9	8131	51.6	73.9	10.6	405	23.6	73.3	157376
FL Liberty	66300	17225	19.9	7021	0.7	10.2	1531	40.8	65.6	7.4	109	21.8	76	7238
FL Madison	54800	12511	23.1	18733	-0.1	14.6	4736	48.2	67.5	10.2	266	25.3	73.4	131577
FL Manatee	119400	22388	10.1	264002	4	24.9	54647	51.7	81.4	20.8	2663	20.7	77.6	267993
FL Marion	81300	17848	13.1	258916	3.5	24.5	55425	51.7	78.2	13.7	3566	21.4	75.7	265572
FL Martin	152400	29584	8.8	126731	2.8	28.2	23623	50.9	85.3	26.3	2392	18.6	78	183724
FL Monroe	241200	26102	10.2	79589	-1.3	14.6	13605	46.8	84.9	25.5	1024	17.1	76.3	1241
FL Nassau	126700	22836	9.1	57663	3.8	12.6	14439	50.7	81	18.9	954	25	74.6	35165
FL Okaloosa	101200	20918	8.8	170498	1.5	12.1	42133	49.5	88	24.2	2636	24.7	76	50822
FL Okeechobee	77600	14553	16	35910	1.3	16.3	9051	46.4	65.1	8.9	1185	25.2	73.6	391871
FL Orange	107500	20916	12.1	896344	3	10	226340	50.5	81.8	26.1	13377	25.3	76	175017
FL Osceola	99300	17022	11.5	172493	5.5	11.4	46214	50.7	79.1	15.7	2271	26.8	77.1	610825
FL Palm Beach	135200	28801	9.9	1131184	3	23.2	240458	51.7	83.6	27.7	25472	21.3	77.1	604703
